 20240924-151715,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0 --seed 1027,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.740172 - logloss: 0.504770,[test] AUC: 0.738171 - logloss: 0.503026
 20240924-151740,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0 --seed 2024,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.738880 - logloss: 0.458076,[test] AUC: 0.736655 - logloss: 0.455098
 20240924-151806,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0 --seed 2333,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.741723 - logloss: 0.453819,[test] AUC: 0.740222 - logloss: 0.451384
 20240924-151939,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0 --seed 1027,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.743886 - logloss: 0.453801,[test] AUC: 0.740668 - logloss: 0.452100
 20240924-151946,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 1 --seed 1027,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.745385 - logloss: 0.453780,[test] AUC: 0.742911 - logloss: 0.451036
 20240924-151950,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 2 --seed 1027,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.742295 - logloss: 0.456579,[test] AUC: 0.739524 - logloss: 0.455088
 20240924-151952,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3 --seed 1027,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.742329 - logloss: 0.453279,[test] AUC: 0.737850 - logloss: 0.452190
 20240924-151955,[command] python run_expid.py --config ./config/ --expid toys-split-moe-4 --gpu 4 --seed 1027,[exp_id] toys-split-moe-4,[dataset_id] toys-split-moe-4,[train] N.A.,[val] AUC: 0.744096 - logloss: 0.468459,[test] AUC: 0.740895 - logloss: 0.467052
 20240924-151958,[command] python run_expid.py --config ./config/ --expid toys-split-moe-5 --gpu 5 --seed 1027,[exp_id] toys-split-moe-5,[dataset_id] toys-split-moe-5,[train] N.A.,[val] AUC: 0.743669 - logloss: 0.465854,[test] AUC: 0.741333 - logloss: 0.463794
 20240924-152003,[command] python run_expid.py --config ./config/ --expid toys-split-moe-6 --gpu 6 --seed 1027,[exp_id] toys-split-moe-6,[dataset_id] toys-split-moe-6,[train] N.A.,[val] AUC: 0.743748 - logloss: 0.503689,[test] AUC: 0.739548 - logloss: 0.500855
 20240924-152006,[command] python run_expid.py --config ./config/ --expid toys-split-moe-7 --gpu 7 --seed 1027,[exp_id] toys-split-moe-7,[dataset_id] toys-split-moe-7,[train] N.A.,[val] AUC: 0.742855 - logloss: 0.464141,[test] AUC: 0.741293 - logloss: 0.460217
 20240924-152007,[command] python run_expid.py --config ./config/ --expid toys-split --gpu 0 --seed 2024,[exp_id] toys-split,[dataset_id] toys-split,[train] N.A.,[val] AUC: 0.741889 - logloss: 0.455697,[test] AUC: 0.738915 - logloss: 0.453601
 20240924-152015,[command] python run_expid.py --config ./config/ --expid toys-split-moe-1 --gpu 1 --seed 2024,[exp_id] toys-split-moe-1,[dataset_id] toys-split-moe-1,[train] N.A.,[val] AUC: 0.744726 - logloss: 0.452609,[test] AUC: 0.740553 - logloss: 0.451335
 20240924-152019,[command] python run_expid.py --config ./config/ --expid toys-split-moe-2 --gpu 2 --seed 2024,[exp_id] toys-split-moe-2,[dataset_id] toys-split-moe-2,[train] N.A.,[val] AUC: 0.743527 - logloss: 0.452321,[test] AUC: 0.741919 - logloss: 0.449095
 20240924-152022,[command] python run_expid.py --config ./config/ --expid toys-split-moe-3 --gpu 3 --seed 2024,[exp_id] toys-split-moe-3,[dataset_id] toys-split-moe-3,[train] N.A.,[val] AUC: 0.741440 - logloss: 0.454463,[test] AUC: 0.739320 - logloss: 0.452266
